predicted,actual
0.664103498,1
0.690138872,1
0.81601334,0.5
0.689932737,1
0.858879848,1
0.628649212,1
0.976442504,1
0.181378001,0.5
0.159113193,0.5
0.673896296,1
0.499916264,0
0.631693614,0.5
0.934475105,1
0.220475694,0.5
0.600871884,0.5
0.32147381,0
0.54358954,0
0.541629987,0.5
0.615740722,1
0.500770935,0.5
0.283661872,0
0.85367417,1
0.534436949,0.5
0.55362263,0.5
0.180244257,0.5
0.899022424,1
0.557865967,0.5
0.14185961,0
1.018364048,1
0.589579984,0.5
0.964513422,1
0.641393207,1
0.121468594,0
0.613144928,0.5
0.302421384,0
0.536234097,1
0.401877439,0.5
0.533867664,0.5
0.122343001,0.5
0.70185703,1
0.176944441,0.5
0.335966231,1
0.608730699,1
0.200519367,0.5
0.565310435,0.5
0.799288773,1
0.386262422,1
0.975335731,1
0.157130549,0
0.522776207,1
0.68535046,0.5
0.91437877,1
0.567700588,0.5
0.634779078,0.5
0.369386953,0
0.580791007,1
0.913579328,1
0.728053716,1
0.642744112,0.5
0.755971821,1
0.565292759,0.5
0.094037632,0.5
0.124738299,0.5
0.852118469,1
0.975703553,1
0.609992302,0.5
0.315152461,0
-0.130164029,0
0.946213296,1
0.184766254,0.5
0.216184188,0
0.538349954,0.5
0.553010316,0.5
0.47713199,0.5
0.365051945,0
0.13405312,1
0.337283624,1
0.670350852,0.5
0.812360706,1
0.151629616,0
0.804513954,1
0.52949859,0.5
0.203130646,0.5
0.653177166,1
0.247645024,0.5
0.581212238,0.5
0.204416898,0.5
0.558581787,1
0.130829319,0.5
0.107620898,0.5
0.53599365,1
0.530125715,0.5
0.432475237,0.5
0.564245439,1
0.531641403,0.5
0.575031121,0.5
-0.206464128,1
0.571363719,0
0.535568572,1
0.525132783,1
0.539242904,0.5
0.964833885,1
0.440357112,0.5
0.58304535,0.5
0.09987471,0
0.974067709,1
0.948957358,1
0.282633874,0.5
0.281601736,0
0.910375636,1
0.973026599,1
0.568768499,1
0.532586114,0.5
0.536040093,0.5
0.767964005,1
0.577750317,1
0.5396607,0.5
0.963780331,1
0.46748037,0.5
0.542299413,1
0.9957897,1
0.968519145,1
0.974915926,1
0.544256515,1
0.267574173,0
0.924565611,1
0.442214353,1
0.575141495,0.5
0.828824357,1
0.966954825,1
0.694865061,0.5
0.148296783,0.5
0.556680892,0.5
0.43972446,0
0.126043854,0.5
0.963290495,1
0.129615169,0.5
0.807269864,1
1.125079452,1
1.028645665,0.5
0.511113707,0.5
-0.083206262,1
0.386196197,0.5
0.547811633,0.5
0.130403459,0.5
0.354459214,0.5
0.540506326,0.5
0.122546287,0.5
0.325747883,0
0.542055768,0.5
0.196290772,0
0.524305132,1
0.401534208,0
0.477209456,1
0.530379272,0.5
0.795004559,1
0.591130894,1
1.121918911,1
0.532620934,0.5
0.422968121,0.5
0.087330158,0.5
0.082130838,0
0.622643637,1
0.646995765,0
0.432662212,1
1.046069034,1
0.649363062,0.5
0.746705272,1
0.661411187,1
0.971373753,1
0.636519275,0
0.87524839,1
0.619422021,0.5
0.452920236,1
0.554686119,0.5
0.246480735,0.5
0.31196038,0.5
0.334452391,0.5
0.377089283,0.5
0.541581373,0.5
0.100953146,0.5
0.172449657,0.5
0.886255479,1
0.414875337,0.5
1.056559771,1
0.530995755,0.5
0.652390011,1
1.073148029,1
0.178515265,0.5
1.076840473,1
0.989070825,1
0.115357737,0
0.523639867,1
0.696212438,1
0.929060486,1
0.148830336,0.5
0.549343749,0.5
0.182935427,0.5
0.921637992,1
0.531127957,0.5
